NRIS_ID,AUTHORIZATION_ID
168702,5876
168695,2784
168677,4596
168670,100219
168667,
168634,3629
168627,15849
168618,105178
168615,261
168613,105178
168612,105178
168602,104962
168600,105178
168596,
168591,671
168590,
168577,5352
168535,3802
168534,1454
168532,
168529,
168528,3102
168523,
168518,
168515,110424
168514,
168513,
168512,
168511,
168510,
168508,104217
168507,104217
168506,104217
168504,
168503,
168502,105178
168499,
168495,
168494,105098
168483,
168470,100116
168466,1453
168461,
168456,
168455,
168451,
168448,
168446,263
168441,8681
168437,
168434,
168423,23779
168419,14675
168418,105178
168416,
168380,7709
168379,1686
168373,16008
168371,HW100288
168370,100288
168366,8571
168364,13987
168360,HW100286
168358,
168357,100286
168346,
168344,
168342,
168339,8680
168337,3283
168335,
168334,
168331,7648
168326,110025
168312,6411
168311,
168307,
168306,110682
168305,17234
168302,110424
168299,110424
168295,110424
168290,110424
168286,
168283,
168281,
168280,
168276,
168272,103860
168240,4431
168227,
168226,
168225,100299
168215,12706
168204,20483
168196,100489
168193,107552
168187,5203
168183,7496
168182,5897
168178,261
168175,261
168171,4397
168159,farm_Longview_UA
168089,UA52648
168081,15737
168080,15704
168071,17588
168024,CRISP_1086
168023,1086
168022,104928
168021,3283
168020,3283
168019,8526
168017,
168014,
168011,
168009,109208
168004,104962
168003,
168001,
167997,105178
167996,105178
167995,105178
167994,105178
167993,105178
167992,105178
167991,105178
167990,105178
167988,105178
167985,104217
167984,402-0676-2019/2024
167981,104217
167980,104217
167979,104217
167961,UA138744
167955,738-0030-2020/2023
167942,UA167942
167936,104217
167934,104217
167933,104217
167929,
167927,
167901,265
167897,26297
167895,26797
167894,
167866,
167863,UA167863
167855,
167853,109000
167851,
167848,
167846,110424
167819,8295
167808,7848
167796,
167795,100096
167794,104133
167792,
167790,26297
167784,
167766,6496
167741,105149
167667,18316
167666,3958
167649,2908
167638,UA103532
167637,1543
167635,6077
167632,
167631,
167623,17787
167616,103334
167613,2573
167602,
167601,
167546,402-0678-2019/2024
167545,13730
167542,12978
167515,
167513,
167512,18194
167511,
167510,
167508,
167492,
167489,105178
167488,105178
167487,104217
167486,104217
167485,104217
167483,104217
167482,104217
167476,UA150540
167473,UA133499
167461,1480
167444,UA167444
167425,
167424,
167414,
167344,
167335,
167334,
167333,1517
167332,
167331,
167330,
167329,1453
167327,
167326,
167325,
167319,
167315,
167314,
167313,
167305,
167289,UA78347
167267,108407
167241,
167231,1543
167230,1138
167218,
167216,
167213,
167211,
167209,
167208,
167207,
167206,12398
167190,1578
167157,UA167157
167152,16022
167149,304
167147,8430
167115,212
167102,7866
167070,IPMUA166991
167055,DGIR203507
166991,IPMUA166991
166965,105178
166962,
166957,
166951,
166949,
166948,
166947,
166946,
166933,518
166932,
166929,
166925,
166922,
166919,
166918,
166917,
166916,
166914,
166912,
166909,105178
166908,UA150540
166897,
166866,107034
166850,
166849,
166848,
166846,265
166844,4688
166842,105178
166841,105178
166840,
166837,
166835,
166834,
166832,105178
166800,
166791,
166785,IPMUA166991
166783,104217
166774,
166681,
166680,
166677,104217
166676,104217
166675,105178
166674,105178
166668,SCP166668
166664,1152
166655,
166654,105718
166632,5803
166631,5803
166629,5803
166628,
166605,UA166605
166568,
166566,4688
166516,104962
166504,UA166504
166486,UA116954
166448,
166439,12314
166438,AG144737
166435,UA142553
166399,104217
166398,104217
166397,104217
166396,104217
166394,17170
166391,
166381,
166377,6972
166374,
166368,
166366,
166362,1758
166357,3283
166356,
166355,104928
166353,104928
166352,104928
166351,15174
166349,15174
166347,
166335,
166300,UA116951
166251,3398
166249,IPMUA143307
166248,1073
166246,18863
166244,15382
166242,1459
166241,1441
166239,24257
166237,7561
166236,12322
166235,12583
166231,19723
166230,3569
166229,1086
166227,1988
166224,3802
166219,11985
166218,14642
166215,3033
166214,1454
166207,105178
166206,105178
166205,105178
166204,
166202,
166198,265
166191,
166182,DGIR202110
166163,UA140792
